sentence,score
game unique twist genre,0.0
moral choice made use power player decision affect story shaped,0.0
fascinating atmosphere world witchcraft inside hogwarts castle class library portrait,0.0
hidden passage fan one one compatible detail read book film,0.0
music make familiar spirit harry potter universe alive result hogwarts,0.0
